trip_id,weather_condition,bus_type,traffic_level,route_distance_km,stops_count,passenger_count,driver_experience_years,scheduled_start_hour,delay_level,trip_duration_minutes
TRIP208122,Clear,Standard,High,12.99,14,51,3.65,17,Severe Delay,83.68
TRIP208308,Windy,Express,High,11.36,10,20,5.43,11,On Time,55.79
TRIP203728,Clear,Standard,Moderate,10.31,8,35,4.17,13,On Time,52.51
TRIP207984,Clear,Mini Bus,High,16.16,17,19,0.47,14,Severe Delay,97.49
TRIP206350,Clear,Standard,Low,11.82,16,37,10.30,23,On Time,53.04
TRIP201142,Clear,Standard,Low,19.62,22,44,8.75,7,Moderate Delay,94.63
TRIP205597,Rainy,Standard,Moderate,6.09,4,35,2.96,8,Moderate Delay,33.40
TRIP200964,Rainy,Express,Moderate,10.68,13,8,3.91,15,On Time,46.19
TRIP206879,Foggy,Standard,Severe,11.58,14,37,2.23,20,Severe Delay,101.10
TRIP204888,Clear,Standard,Low,10.95,14,40,5.94,9,Moderate Delay,49.85
TRIP203581,Clear,Mini Bus,High,5.34,3,15,4.83,13,Moderate Delay,34.77
TRIP207407,Rainy,Standard,High,10.01,11,47,1.43,9,Severe Delay,90.34
TRIP201801,Clear,Standard,Moderate,6.87,6,47,4.00,15,Moderate Delay,38.11
TRIP207525,Clear,Express,High,7.67,3,41,3.79,9,Moderate Delay,28.70
TRIP204300,,Mini Bus,Moderate,19.50,18,15,2.25,21,Moderate Delay,103.43
TRIP205462,Clear,Express,Severe,9.90,11,21,11.10,22,Moderate Delay,49.81
TRIP208696,Rainy,Standard,Moderate,7.86,10,37,3.63,18,Moderate Delay,48.95
TRIP207574,Windy,Standard,Moderate,10.24,11,24,4.94,10,Moderate Delay,54.70
TRIP206440,Clear,Standard,Moderate,8.76,14,31,5.29,23,On Time,38.87
TRIP205365,Clear,Standard,Severe,2.11,4,42,4.44,18,Severe Delay,31.36
TRIP206867,Clear,Standard,High,15.81,15,40,4.62,17,Moderate Delay,91.29
TRIP203506,Clear,Standard,High,7.29,10,49,2.51,5,Severe Delay,42.70
TRIP200118,Clear,Standard,Moderate,5.75,3,23,9.19,23,On Time,22.69
TRIP201371,Rainy,Standard,High,13.36,12,41,1.78,6,Severe Delay,80.77
TRIP206014,Foggy,Standard,Moderate,5.20,5,21,13.78,20,On Time,26.90
TRIP203578,Windy,Standard,Severe,14.72,17,38,11.49,14,Severe Delay,111.82
TRIP200759,Clear,Standard,Low,18.36,17,27,6.04,18,Moderate Delay,82.60
TRIP208080,Windy,Mini Bus,Moderate,7.43,7,30,15.17,17,Moderate Delay,45.21
TRIP203347,Rainy,Standard,High,9.08,6,38,10.66,11,Moderate Delay,72.00
TRIP208595,Clear,Express,Moderate,12.45,10,25,3.16,19,Moderate Delay,51.46
TRIP205299,Clear,Mini Bus,Low,13.67,16,3,14.51,11,On Time,46.99
TRIP202570,,Express,High,18.04,17,23,8.57,21,Moderate Delay,89.70
TRIP202224,Clear,Express,High,4.38,3,43,2.58,18,Severe Delay,22.89
TRIP200199,Clear,Mini Bus,Severe,8.68,8,19,2.97,21,Moderate Delay,57.12
TRIP204927,Rainy,Express,Moderate,8.62,8,36,5.82,7,Moderate Delay,40.04
TRIP201760,,Express,High,7.30,5,32,8.22,14,Moderate Delay,26.76
TRIP208042,Windy,Express,Low,15.34,19,6,1.70,6,Moderate Delay,58.46
TRIP201130,Clear,Mini Bus,High,16.08,19,3,10.43,23,Moderate Delay,93.45
TRIP207431,Rainy,Mini Bus,Low,5.16,9,3,9.50,23,On Time,34.00
TRIP200749,Windy,Mini Bus,Severe,9.87,9,14,1.64,11,Severe Delay,70.45
TRIP206828,Clear,,Moderate,4.99,5,44,6.79,11,On Time,15.59
TRIP205655,Rainy,Standard,Severe,15.49,14,26,9.97,14,Severe Delay,119.88
TRIP203014,Clear,Mini Bus,Moderate,9.20,10,30,12.23,6,On Time,57.13
TRIP206290,Rainy,Mini Bus,High,8.06,9,23,4.92,21,Severe Delay,55.80
TRIP209348,Clear,Mini Bus,Moderate,6.62,7,3,1.85,5,Moderate Delay,35.77
TRIP209564,Clear,Standard,High,12.96,15,43,1.57,10,Moderate Delay,70.80
TRIP201543,Windy,Standard,Moderate,8.00,7,47,13.69,18,Moderate Delay,36.81
TRIP201277,Clear,Standard,Severe,12.44,13,,3.02,9,Severe Delay,94.47
TRIP203612,Clear,Mini Bus,Severe,16.65,16,34,10.21,18,Severe Delay,131.75
TRIP208549,Rainy,Standard,Severe,9.89,11,20,13.09,14,Severe Delay,75.81
TRIP205767,,Mini Bus,Moderate,3.11,4,7,9.83,20,On Time,27.43
TRIP200498,Clear,Express,Moderate,12.05,17,22,8.49,6,On Time,46.28
TRIP201579,Clear,Standard,High,29.87,35,14,2.03,13,Severe Delay,180.00
TRIP208218,Clear,Standard,Moderate,9.52,9,12,6.40,17,Moderate Delay,56.40
TRIP207244,Clear,Standard,Moderate,7.69,11,35,6.54,11,On Time,34.05
TRIP206651,Rainy,Mini Bus,Moderate,9.21,5,20,2.54,17,Severe Delay,50.90
TRIP208799,Clear,Mini Bus,Moderate,12.77,13,19,7.28,8,Moderate Delay,67.14
TRIP202372,Rainy,Standard,High,6.37,5,38,6.83,20,Moderate Delay,52.30
TRIP205018,Windy,Standard,Moderate,17.48,18,40,15.58,8,Severe Delay,99.16
TRIP208188,Rainy,Standard,Moderate,11.17,11,31,3.82,6,On Time,46.35
TRIP202517,Rainy,Standard,Moderate,11.34,18,32,1.11,12,Severe Delay,68.54
TRIP200578,Windy,Mini Bus,Moderate,3.62,4,25,7.97,14,On Time,15.64
TRIP200338,Clear,Mini Bus,High,12.85,15,16,4.47,11,Moderate Delay,72.04
TRIP209645,Foggy,Mini Bus,Low,10.76,11,39,7.68,17,Moderate Delay,55.71
TRIP208598,Clear,Express,Moderate,7.79,4,17,5.26,15,On Time,26.17
TRIP205117,Windy,Express,High,4.83,6,12,8.53,14,On Time,28.64
TRIP200906,Clear,Standard,High,10.82,12,34,2.53,7,Severe Delay,53.67
TRIP209724,Rainy,Standard,Low,10.70,9,31,8.47,11,On Time,46.46
TRIP205564,Clear,Express,High,4.40,7,23,0.86,22,On Time,21.44
TRIP208220,Clear,Standard,Low,21.11,21,38,18.00,21,On Time,98.03
TRIP202939,Clear,Mini Bus,Moderate,,10,18,5.35,15,On Time,59.04
TRIP202860,Clear,Standard,Moderate,12.93,16,41,7.48,16,Moderate Delay,56.56
TRIP203703,Clear,Mini Bus,Severe,4.98,7,21,8.88,21,Moderate Delay,38.60
TRIP207927,Clear,,Moderate,10.03,11,28,9.34,23,On Time,39.64
TRIP208556,Clear,Mini Bus,High,5.21,6,20,3.09,21,Moderate Delay,34.54
TRIP206088,Windy,Standard,High,5.66,8,38,,7,Moderate Delay,45.21
TRIP207088,Clear,Standard,High,11.06,14,44,4.42,16,Severe Delay,79.22
TRIP209236,,Standard,High,12.36,15,58,3.82,16,Severe Delay,75.81
TRIP206790,Rainy,Standard,Severe,5.40,8,25,9.20,10,Severe Delay,48.29
TRIP201163,Windy,Mini Bus,Moderate,17.88,17,20,6.78,23,Moderate Delay,83.84
TRIP208472,Rainy,Standard,Moderate,14.61,17,23,7.80,12,Severe Delay,76.32
TRIP201561,Clear,Standard,Moderate,14.27,15,49,2.34,10,Moderate Delay,75.51
TRIP206777,Clear,Standard,Moderate,18.35,17,40,13.50,10,Moderate Delay,86.61
TRIP200280,Rainy,Standard,High,6.75,8,29,9.58,13,Moderate Delay,49.94
TRIP203500,Windy,Mini Bus,Moderate,17.49,20,16,9.08,20,Moderate Delay,87.30
TRIP203526,Clear,Standard,Moderate,6.84,4,50,10.81,19,Moderate Delay,44.09
TRIP201405,Rainy,Mini Bus,High,16.25,17,24,11.37,14,Severe Delay,112.29
TRIP206160,Rainy,Standard,High,10.15,10,37,5.70,6,Severe Delay,72.11
TRIP209376,Clear,Standard,Moderate,4.53,4,28,6.66,23,On Time,25.92
TRIP207772,Rainy,Mini Bus,Low,10.94,15,17,4.51,16,Moderate Delay,62.24
TRIP201967,Rainy,Mini Bus,High,2.75,5,24,9.45,6,Moderate Delay,41.69
TRIP204015,Foggy,Express,Low,5.80,7,39,1.01,19,Moderate Delay,39.85
TRIP205719,Rainy,Express,Low,4.26,6,34,4.30,7,On Time,22.81
TRIP206689,Rainy,Express,High,7.08,11,35,6.68,20,Severe Delay,55.23
TRIP201574,Foggy,Express,Moderate,18.84,24,35,8.95,14,On Time,92.55
TRIP200393,Rainy,Standard,High,8.06,11,52,4.47,7,Severe Delay,75.04
TRIP200670,Windy,Mini Bus,Severe,4.93,6,31,3.31,17,Moderate Delay,49.60
TRIP203384,Clear,Standard,Severe,23.48,28,42,2.67,7,Severe Delay,180.00
TRIP206964,Foggy,Standard,Moderate,9.99,5,37,6.04,9,Moderate Delay,46.47
TRIP206884,Clear,Standard,Moderate,6.25,5,44,7.83,16,Moderate Delay,39.69
TRIP200090,Clear,Standard,Moderate,2.00,3,36,3.86,14,On Time,24.26
TRIP208141,Clear,Standard,Low,17.53,17,36,17.11,6,On Time,75.34
TRIP207859,Clear,Standard,Moderate,3.23,7,37,2.65,15,On Time,21.41
TRIP202217,Clear,Standard,High,14.57,15,32,4.25,6,Moderate Delay,81.89
TRIP208209,Rainy,Express,High,5.07,3,21,4.58,12,Moderate Delay,34.79
TRIP204876,Rainy,Standard,High,2.09,5,46,12.07,15,Severe Delay,33.07
TRIP206615,Clear,Standard,Severe,3.99,3,40,,9,Severe Delay,41.44
TRIP207369,Clear,Standard,Severe,3.62,5,35,4.98,20,On Time,33.96
TRIP203904,Windy,Mini Bus,High,15.26,19,39,5.96,17,Severe Delay,95.61
TRIP204983,Clear,Standard,Moderate,9.33,10,34,8.03,8,Moderate Delay,39.47
TRIP201492,Windy,Standard,Moderate,3.37,3,35,6.35,20,On Time,22.12
TRIP206712,Windy,Standard,Severe,13.23,11,46,8.32,7,Severe Delay,105.18
TRIP206081,Clear,Mini Bus,Moderate,6.19,3,8,4.45,20,On Time,24.25
TRIP202062,Clear,Express,Severe,14.24,15,22,0.90,10,Moderate Delay,91.08
TRIP204687,Windy,Mini Bus,Moderate,8.83,10,23,12.10,7,On Time,49.72
TRIP208183,Clear,Standard,Moderate,13.50,15,27,5.99,12,On Time,58.77
TRIP203674,Rainy,Mini Bus,Moderate,13.23,9,,2.69,6,Moderate Delay,62.05
TRIP205562,Clear,Standard,High,11.39,10,31,15.99,12,On Time,55.19
TRIP201023,Clear,Standard,Severe,15.18,14,44,5.65,10,Moderate Delay,107.40
TRIP206533,Clear,Mini Bus,Moderate,5.19,3,23,2.87,8,Moderate Delay,33.72
TRIP209427,Rainy,Standard,High,7.99,10,50,2.43,19,Severe Delay,66.82
TRIP203954,Foggy,Standard,High,23.94,23,28,4.17,6,Severe Delay,167.29
TRIP205314,Clear,Mini Bus,Moderate,6.25,11,15,2.66,12,Moderate Delay,27.65
TRIP204078,,Standard,Moderate,8.98,13,40,11.86,10,On Time,39.79
TRIP208348,Rainy,Mini Bus,High,8.11,13,10,6.22,14,Moderate Delay,66.53
TRIP206530,Windy,Standard,Low,8.41,11,28,4.90,21,On Time,38.57
TRIP203032,Rainy,Standard,High,10.81,12,32,6.87,21,Severe Delay,71.13
TRIP201345,Rainy,Mini Bus,High,7.69,8,18,9.53,21,Severe Delay,59.27
TRIP209587,Rainy,Standard,High,10.99,9,20,1.50,15,Severe Delay,68.33
TRIP202772,Clear,Standard,High,8.06,7,16,3.27,13,On Time,45.28
TRIP206199,Rainy,Standard,High,11.91,14,14,18.00,12,Severe Delay,78.16
TRIP207425,Clear,Standard,Low,4.68,7,45,0.64,6,On Time,24.75
TRIP200510,Clear,Express,Low,19.46,21,22,3.85,7,Moderate Delay,76.85
TRIP201672,Rainy,Standard,High,13.60,14,,2.49,19,Severe Delay,99.08
TRIP208927,Clear,Standard,High,31.42,30,50,1.92,9,Severe Delay,180.00
TRIP209394,Clear,Mini Bus,High,8.40,5,3,1.54,22,Moderate Delay,48.39
TRIP202915,Clear,Mini Bus,Moderate,5.73,11,39,1.05,8,Moderate Delay,40.63
TRIP200575,Clear,Mini Bus,High,8.23,14,46,2.81,9,Severe Delay,58.25
TRIP202163,Clear,Standard,Severe,16.85,15,44,7.71,19,Severe Delay,129.63
TRIP200863,Rainy,Mini Bus,High,5.03,5,14,5.29,20,Severe Delay,52.86
TRIP209201,,Mini Bus,Low,4.40,6,46,2.73,9,Moderate Delay,33.85
TRIP205225,Clear,Standard,Moderate,5.99,5,38,9.84,23,On Time,19.57
TRIP205334,Rainy,Standard,Severe,9.91,15,33,4.86,16,Severe Delay,109.88
TRIP208304,Windy,Mini Bus,High,6.67,4,18,3.67,21,On Time,34.19
TRIP207279,Foggy,Standard,Moderate,13.22,16,37,18.00,12,Moderate Delay,70.59
TRIP203224,Windy,Standard,High,7.93,11,28,2.72,23,Moderate Delay,53.03
TRIP205491,Clear,Standard,High,15.54,16,38,9.54,21,Moderate Delay,94.94
TRIP207788,Windy,Standard,High,10.22,12,30,8.70,21,On Time,63.45
TRIP203473,Clear,Standard,Moderate,,6,43,4.71,19,Moderate Delay,45.93
TRIP206566,Windy,Express,Moderate,9.35,12,40,5.54,8,On Time,34.23
TRIP208154,Clear,Standard,Moderate,14.08,14,54,7.85,21,Moderate Delay,63.20
TRIP208866,Clear,Standard,Moderate,7.74,7,47,10.43,19,Moderate Delay,36.77
TRIP208678,Clear,Mini Bus,High,11.66,11,39,5.75,16,Severe Delay,74.61
TRIP206248,Clear,Standard,High,9.30,10,48,18.00,15,Moderate Delay,51.68
TRIP209015,Windy,Standard,Moderate,5.57,6,32,7.09,23,On Time,25.44
TRIP205164,Clear,Standard,Severe,11.59,12,35,5.47,18,Moderate Delay,85.17
TRIP208350,Rainy,Express,High,5.01,3,21,4.65,6,Moderate Delay,36.59
TRIP201788,Windy,Standard,Low,21.24,22,39,6.93,13,Moderate Delay,97.79
TRIP205747,Clear,Standard,Moderate,10.45,9,42,5.64,18,Moderate Delay,51.00
TRIP201822,Rainy,Standard,High,11.14,6,45,1.77,17,Severe Delay,74.93
TRIP205208,Clear,Standard,Moderate,7.67,7,36,10.12,17,Moderate Delay,37.45
TRIP203286,Foggy,Standard,High,9.89,9,59,6.32,7,Severe Delay,65.96
TRIP203876,Windy,Standard,Moderate,16.77,17,22,2.57,14,Moderate Delay,87.20
TRIP207627,Clear,Standard,Severe,8.80,7,41,13.93,19,Severe Delay,72.69
TRIP202954,Clear,Mini Bus,Moderate,3.90,3,29,5.75,18,On Time,26.64
TRIP208636,Clear,Express,Moderate,7.56,7,38,,19,On Time,29.17
TRIP204586,Foggy,Express,Low,5.28,9,48,8.64,8,Moderate Delay,29.11
TRIP208266,Clear,Mini Bus,High,11.29,14,32,4.68,13,Moderate Delay,66.10
TRIP201143,Clear,Mini Bus,Low,7.29,7,27,,17,On Time,46.69
TRIP202910,Clear,Mini Bus,Low,12.71,12,12,6.33,21,On Time,53.14
TRIP202589,,Mini Bus,High,4.58,9,16,6.94,14,Moderate Delay,29.98
TRIP200228,Rainy,Mini Bus,Moderate,7.15,6,20,9.81,6,On Time,42.01
TRIP202911,Clear,Standard,Low,7.23,8,29,,15,On Time,27.83
TRIP209660,Clear,Standard,Severe,7.39,6,16,2.51,14,Moderate Delay,42.79
TRIP207644,Windy,Mini Bus,High,9.20,10,26,2.78,13,Severe Delay,62.73
TRIP205288,Rainy,Standard,High,3.09,3,29,8.63,22,Moderate Delay,34.62
TRIP205453,Clear,Mini Bus,Low,6.62,5,23,5.06,22,On Time,31.24
TRIP200261,Clear,Express,Low,9.67,6,17,3.30,12,On Time,27.88
TRIP203021,Clear,Mini Bus,High,5.72,9,34,15.60,14,Moderate Delay,25.70
TRIP200028,Foggy,Express,Moderate,6.70,6,24,7.12,13,On Time,25.95
TRIP200903,Windy,Express,Severe,21.97,24,26,4.46,13,Severe Delay,169.44
TRIP209094,Rainy,Express,Low,9.93,11,33,17.97,7,On Time,33.17
TRIP201803,Foggy,Express,Low,26.18,30,40,4.61,7,Severe Delay,124.85
TRIP207298,Rainy,Mini Bus,Moderate,13.70,13,17,2.20,22,Moderate Delay,65.43
TRIP203342,,Express,High,13.50,16,32,2.63,9,Severe Delay,70.67
TRIP209581,Clear,Standard,High,7.79,4,42,4.16,18,Moderate Delay,46.24
TRIP209381,Windy,Standard,Moderate,4.42,3,20,4.61,12,On Time,23.09
TRIP206891,Windy,Standard,High,8.24,9,19,2.93,12,On Time,63.08
TRIP207607,Rainy,Standard,High,5.06,8,30,5.27,20,Severe Delay,45.89
TRIP208546,Rainy,Mini Bus,Low,9.14,10,24,10.99,17,Severe Delay,46.94
TRIP209238,Windy,Standard,Severe,2.04,3,,1.25,11,Moderate Delay,14.90
TRIP202262,Clear,Mini Bus,High,9.28,10,8,12.02,22,Moderate Delay,50.43
TRIP207994,Rainy,Standard,Moderate,14.11,13,29,13.11,12,Moderate Delay,65.45
TRIP205608,,Mini Bus,High,8.18,10,26,10.35,10,Moderate Delay,54.20
TRIP201150,Clear,Standard,Severe,11.82,16,45,0.71,17,Severe Delay,94.95
TRIP208489,Clear,Mini Bus,Moderate,9.54,10,32,3.52,7,Moderate Delay,54.11
TRIP203234,Clear,Standard,Low,28.97,31,35,2.32,23,Severe Delay,155.78
TRIP203784,Windy,Standard,Moderate,5.27,7,45,2.96,21,On Time,24.87
TRIP200535,Clear,Mini Bus,Low,15.50,15,27,12.81,5,On Time,69.18
TRIP202963,Clear,Standard,High,2.00,3,29,,13,On Time,14.78
TRIP204515,Rainy,Express,High,21.75,27,25,4.85,6,Severe Delay,140.99
TRIP200936,Rainy,Express,Low,8.69,8,,6.57,23,On Time,39.43
TRIP202404,Clear,Mini Bus,Moderate,13.00,16,,3.70,23,On Time,58.60
TRIP204761,Clear,Standard,Low,4.69,8,40,2.99,14,On Time,31.32
TRIP205404,Clear,Standard,Severe,14.83,19,23,15.12,13,Moderate Delay,103.11
TRIP204226,Rainy,Mini Bus,Moderate,9.65,9,21,2.19,7,Severe Delay,52.93
TRIP203114,Clear,Express,High,5.62,8,18,12.34,22,On Time,25.12
TRIP204570,Clear,Standard,Severe,11.04,12,49,7.09,16,Severe Delay,81.39
TRIP206472,Clear,Standard,Low,21.06,25,36,4.77,8,Moderate Delay,98.36
TRIP207979,Clear,Express,Low,9.36,7,22,18.00,17,On Time,25.44
TRIP200458,Clear,Standard,High,5.23,4,42,4.51,12,Moderate Delay,33.68
TRIP202336,Clear,Standard,Moderate,8.89,7,25,7.71,20,On Time,40.83
TRIP207143,,Standard,High,8.21,9,41,4.15,5,Moderate Delay,45.48
TRIP202032,Windy,Standard,High,6.71,7,58,1.25,19,Severe Delay,46.54
TRIP202913,Rainy,Standard,High,20.02,17,29,2.07,20,Severe Delay,130.77
TRIP206756,Clear,Standard,Moderate,19.38,21,54,8.26,8,Severe Delay,108.82
TRIP201752,Clear,Express,Moderate,32.00,33,31,,18,Severe Delay,180.00
TRIP205183,Clear,Express,High,18.34,21,35,1.45,19,Severe Delay,118.43
TRIP205256,Windy,Mini Bus,Low,17.28,20,12,17.13,6,On Time,79.06
TRIP203604,Clear,Standard,Severe,12.16,15,31,1.61,19,Severe Delay,94.55
TRIP200196,Clear,Express,Severe,8.99,9,26,6.27,5,On Time,44.98
TRIP202550,Rainy,Express,Moderate,6.00,9,20,14.12,8,Moderate Delay,27.55
TRIP201519,Rainy,Standard,Moderate,6.19,4,53,2.46,9,Severe Delay,38.15
TRIP203861,Rainy,Express,Moderate,5.39,5,16,3.66,12,On Time,20.45
TRIP203538,Clear,Standard,Moderate,9.85,14,31,12.38,14,On Time,49.05
TRIP208631,,Standard,High,7.64,9,43,1.82,19,Severe Delay,65.21
TRIP206378,Windy,Standard,High,5.04,6,44,9.00,7,Moderate Delay,37.77
TRIP203068,Clear,Express,Moderate,7.67,5,,,8,Moderate Delay,32.38
TRIP204609,Clear,Express,Moderate,9.33,9,40,7.17,8,On Time,38.90
TRIP207828,Windy,Standard,High,7.49,6,39,6.45,10,On Time,39.13
TRIP203494,Clear,Standard,Low,10.00,13,12,7.50,19,Moderate Delay,44.72
TRIP204926,,Standard,High,9.59,13,26,9.33,10,Moderate Delay,58.10
